d,p1,p2,p4,p8
10,1.8792e-06,5.74008e-05,7.6443e-05,9.7152e-05
20,2.14532e-05,0.000195345,0.00023051,0.000606277
30,5.08802e-05,0.000361207,0.00050292,0.000618713
40,0.000116257,0.000707593,0.000935361,0.00103103
50,0.000214428,0.000945572,0.00134832,0.00158682
60,0.000352696,0.0013949,0.00198156,0.00220868
70,0.000480389,0.00196741,0.00234682,0.00386459
80,0.000711135,0.00262604,0.00316659,0.00398459
90,0.00264569,0.00348045,0.00365981,0.00539796
100,0.00115634,0.00374141,0.0049228,0.0062607
110,0.00144603,0.00497251,0.00580329,0.00782019
120,0.00185224,0.00598396,0.00666825,0.00857172
130,0.00228821,0.0067929,0.00781443,0.0102552
140,0.00323653,0.0083008,0.0100171,0.0125744
150,0.00355584,0.00927688,0.0113027,0.0143312
160,0.0042482,0.0106043,0.0119533,0.0154275
170,0.00477861,0.0140529,0.0129256,0.0176883
180,0.00559425,0.0131937,0.0168666,0.0197894
190,0.00658138,0.0147278,0.0175214,0.022649
200,0.00761911,0.0165956,0.0188195,0.0251454
210,0.0103287,0.018648,0.0199038,0.0277543
220,0.0101461,0.0199285,0.0230031,0.0304866
230,0.011483,0.0218838,0.0258142,0.0333852
240,0.0131232,0.0242175,0.0265902,0.0360336
250,0.0146083,0.0264018,0.0303282,0.0401461
260,0.0165069,0.029409,0.0299415,0.0416443
270,0.0183981,0.0319581,0.0305193,0.04613
280,0.0204678,0.0340464,0.0339713,0.0486266
290,0.0228685,0.0379531,0.0389808,0.0535254
300,0.0251329,0.0416716,0.0420306,0.0571708
310,0.0278183,0.0445941,0.0439526,0.0611571
320,0.0306148,0.0475847,0.0454412,0.062519
330,0.0334563,0.0520931,0.0448831,0.06714
340,0.0365245,0.0579063,0.0483766,0.0722527
350,0.0399734,0.0592163,0.0568542,0.0763276
360,0.0434786,0.0635959,0.0574125,0.0807289
370,0.0472863,0.0687821,0.0689324,0.0858793
380,0.0509555,0.0712042,0.0654501,0.0904319
390,0.0550966,0.0747064,0.0741755,0.0929155
400,0.0594414,0.0817958,0.0710058,0.0993297
410,0.0639515,0.0871096,0.0754831,0.104965
420,0.0686687,0.0933184,0.0777473,0.110728
430,0.0736208,0.0987123,0.0787391,0.114269
440,0.0792322,0.103027,0.0811443,0.118232
450,0.0844031,0.11084,0.0909886,0.12552
460,0.0913964,0.123162,0.0885942,0.131856
470,0.0966035,0.123178,0.0894962,0.138165
480,0.103534,0.133176,0.0891483,0.142358
490,0.109041,0.137988,0.0936482,0.144798
500,0.115865,0.145663,0.0980655,0.153218
510,0.123037,0.153061,0.101428,0.159801
520,0.130413,0.159562,0.104039,0.164219
530,0.137778,0.167864,0.115318,0.173102
540,0.146157,0.177539,0.126095,0.174702
550,0.154041,0.185284,0.121786,0.181969
560,0.162528,0.191051,0.130817,0.191901
570,0.171602,0.19669,0.136477,0.200509
580,0.180326,0.204471,0.138681,0.201002
590,0.189889,0.214664,0.153713,0.211726
600,0.199633,0.234846,0.154669,0.218503
610,0.209713,0.238234,0.166644,0.224095
620,0.22058,0.246001,0.170433,0.235484
630,0.230994,0.259721,0.17394,0.237252
640,0.24302,0.268241,0.186406,0.244161
650,0.252773,0.282317,0.188214,0.251415
660,0.264678,0.293066,0.192938,0.254245
670,0.27716,0.307954,0.205935,0.258118
680,0.289945,0.315684,0.214967,0.266619
690,0.302134,0.332984,0.21955,0.277387
700,0.315695,0.336384,0.226628,0.285599
710,0.329442,0.357007,0.239044,0.292733
720,0.343586,0.374618,0.242966,0.288127
730,0.357677,0.383929,0.250806,0.304415
740,0.372421,0.402486,0.261247,0.301191
750,0.387751,0.412017,0.26756,0.306648
760,0.404239,0.425019,0.281184,0.318577
770,0.41962,0.449095,0.288372,0.329406
780,0.436114,0.459903,0.29793,0.334797
790,0.453399,0.473833,0.310333,0.339883
800,0.470886,0.490862,0.319793,0.344868
810,0.488382,0.500916,0.332887,0.335037
820,0.506712,0.530586,0.348834,0.343368
830,0.525913,0.532532,0.353363,0.372048
840,0.545546,0.562357,0.366563,0.361203
850,0.564312,0.579485,0.385303,0.375392
860,0.584357,0.585493,0.392704,0.386804
870,0.604679,0.605826,0.404631,0.406354
880,0.627334,0.631068,0.414998,0.413527
890,0.647598,0.645983,0.42011,0.408727
900,0.669903,0.674525,0.437392,0.427972
910,0.693657,0.693884,0.466576,0.449297
920,0.721306,0.743282,0.483156,0.444579
930,0.738543,0.720217,0.487412,0.459856
940,0.762476,0.740046,0.498002,0.458385
950,0.787527,0.764041,0.51781,0.471199
960,0.818308,0.799358,0.531766,0.481591
970,0.839582,0.801056,0.549277,0.502068
980,0.867262,0.832783,0.565693,0.504897
990,0.893118,0.851935,0.580956,0.523963
1000,0.923719,0.872564,0.598196,0.534065
